刺刀（★） | 伽玛多普勒 (崭新出厂)max,4153.03,刺刀（★） | 伽玛多普勒 (崭新出厂)igxe,2822.00,1331.0299999999997
刺刀（★） | 北方森林 (久经沙场)igxe,835.00,刺刀（★） | 北方森林 (久经沙场)max,1171.05,-336.04999999999995
刺刀（★） | 北方森林 (战痕累累)igxe,830.00,刺刀（★） | 北方森林 (战痕累累)max,1107.97,-277.97
刺刀（★） | 北方森林 (略有磨损)buff,980,刺刀（★） | 北方森林 (略有磨损)igxe,1019.87,-39.870000000000005
刺刀（★） | 北方森林 (破损不堪)igxe,859.33,刺刀（★） | 北方森林 (破损不堪)max,1206.84,-347.5099999999999
刺刀（★） | 噩梦之夜 (久经沙场)igxe,969.00,刺刀（★） | 噩梦之夜 (久经沙场)max,1146.16,-177.16000000000008
刺刀（★） | 噩梦之夜 (战痕累累)igxe,999.00,刺刀（★） | 噩梦之夜 (战痕累累)max,1459.58,-460.5799999999999
刺刀（★） | 外表生锈 (战痕累累)buff,995.38,刺刀（★） | 外表生锈 (战痕累累)igxe,1022.92,-27.539999999999964
刺刀（★） | 多普勒 (崭新出厂)max,3246.43,刺刀（★） | 多普勒 (崭新出厂)buff,2190,1056.4299999999998
刺刀（★） | 多普勒 (略有磨损)max,3257.06,刺刀（★） | 多普勒 (略有磨损)igxe,2218.78,1038.2799999999997
刺刀（★） | 大马士革钢 (久经沙场)max,1887.33,刺刀（★） | 大马士革钢 (久经沙场)buff,1264,623.3299999999999
刺刀（★） | 大马士革钢 (崭新出厂)max,2288.31,刺刀（★） | 大马士革钢 (崭新出厂)buff,1565,723.31
刺刀（★） | 大马士革钢 (略有磨损)max,2417.63,刺刀（★） | 大马士革钢 (略有磨损)buff,1425,992.6300000000001
刺刀（★） | 屠夫 (久经沙场)max,2286.58,刺刀（★） | 屠夫 (久经沙场)buff,1684.5,602.0799999999999
刺刀（★） | 屠夫 (略有磨损)max,2864.44,刺刀（★） | 屠夫 (略有磨损)buff,2029,835.44
刺刀（★） | 枯焦之色 (久经沙场)igxe,844.00,刺刀（★） | 枯焦之色 (久经沙场)max,1060.00,-216.0
刺刀（★） | 枯焦之色 (战痕累累)igxe,848.90,刺刀（★） | 枯焦之色 (战痕累累)max,1206.91,-358.0100000000001
刺刀（★） | 枯焦之色 (略有磨损)igxe,975.00,刺刀（★） | 枯焦之色 (略有磨损)max,1274.27,-299.27
刺刀（★） | 森林 DDPAT (久经沙场)igxe,850.00,刺刀（★） | 森林 DDPAT (久经沙场)max,1208.45,-358.45000000000005
刺刀（★） | 森林 DDPAT (略有磨损)buff,955,刺刀（★） | 森林 DDPAT (略有磨损)igxe,1020.00,-65.0
刺刀（★） | 深红之网 (久经沙场)max,1861.91,刺刀（★） | 深红之网 (久经沙场)buff,1334,527.9100000000001
刺刀（★） | 深红之网 (战痕累累)max,1921.45,刺刀（★） | 深红之网 (战痕累累)buff,1299.4,622.05
